SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Fri Jul 12 14:04:29 ART 2024
User: Javier
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: ADUD7991
Integration Time (usec): 30000 (ADUD7991)
Spectra Averaged: 1 (ADUD7991)
Boxcar Smoothing: 0 (ADUD7991)
Correct for Electrical Dark: No (ADUD7991)
Strobe/Lamp Enabled: No (ADUD7991)
Correct for Detector Non-linearity: No (ADUD7991)
Correct for Stray Light: No (ADUD7991)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
338.97	0.00
339.33	-3.00
339.70	0.00
340.06	-1.00
340.42	-5.00
340.79	-10.00
341.15	4.00
341.52	-5.00
341.88	1.00
342.24	-3.00
342.61	-1.00
342.97	-2.00
343.33	-1.00
343.70	0.00
344.06	1.00
344.43	-4.00
344.79	-3.00
345.15	-3.00
345.52	2.00
345.88	-5.00
346.24	2.00
346.61	-4.00
346.97	-2.00
347.33	6.00
347.70	-2.00
348.06	7.00
348.42	-2.00
348.79	-1.00
349.15	2.00
349.51	3.00
349.88	-5.00
350.24	-4.00
350.60	-3.00
350.97	-1.00
351.33	-2.00
351.69	-6.00
352.05	-3.00
352.42	0.00
352.78	5.00
353.14	-1.00
353.51	-2.00
353.87	-4.00
354.23	2.00
354.60	3.00
354.96	6.00
355.32	-8.00
355.68	-2.00
356.05	3.00
356.41	-1.00
356.77	5.00
357.13	5.00
357.50	-4.00
357.86	4.00
358.22	-8.00
358.58	-3.00
358.95	-3.00
359.31	-1.00
359.67	-3.00
360.03	-1.00
360.40	0.00
360.76	-3.00
361.12	8.00
361.48	2.00
361.85	-11.00
362.21	-6.00
362.57	-4.00
362.93	-3.00
363.29	2.00
363.66	1.00
364.02	-10.00
364.38	-4.00
364.74	-7.00
365.10	3.00
365.47	-2.00
365.83	6.00
366.19	1.00
366.55	-2.00
366.91	-3.00
367.28	-5.00
367.64	1.00
368.00	3.00
368.36	4.00
368.72	-4.00
369.08	4.00
369.45	-5.00
369.81	-6.00
370.17	-3.00
370.53	-4.00
370.89	2.00
371.25	-8.00
371.62	-1.00
371.98	0.00
372.34	-7.00
372.70	3.00
373.06	6.00
373.42	0.00
373.78	8.00
374.14	-3.00
374.51	2.00
374.87	-2.00
375.23	3.00
375.59	4.00
375.95	2.00
376.31	-6.00
376.67	-2.00
377.03	5.00
377.39	-9.00
377.76	3.00
378.12	3.00
378.48	-7.00
378.84	-15.00
379.20	0.00
379.56	6.00
379.92	3.00
380.28	-1.00
380.64	3.00
381.00	-1.00
381.36	-3.00
381.72	8.00
382.08	-1.00
382.45	6.00
382.81	-2.00
383.17	0.00
383.53	-1.00
383.89	0.00
384.25	-1.00
384.61	8.00
384.97	1.00
385.33	-3.00
385.69	4.00
386.05	-2.00
386.41	7.00
386.77	-1.00
387.13	-1.00
387.49	-6.00
387.85	1.00
388.21	2.00
388.57	-1.00
388.93	-2.00
389.29	3.00
389.65	2.00
390.01	7.00
390.37	6.00
390.73	4.00
391.09	5.00
391.45	12.00
391.81	4.00
392.17	7.00
392.53	9.00
392.89	-5.00
393.25	6.00
393.61	6.00
393.97	5.00
394.33	1.00
394.69	1.00
395.05	4.00
395.41	1.00
395.77	9.00
396.12	3.00
396.48	1.00
396.84	5.00
397.20	5.00
397.56	2.00
397.92	4.00
398.28	-1.00
398.64	10.00
399.00	7.00
399.36	10.00
399.72	14.00
400.08	9.00
400.44	14.00
400.79	11.00
401.15	10.00
401.51	12.00
401.87	12.00
402.23	12.00
402.59	12.00
402.95	11.00
403.31	11.00
